Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Book value,Price to book value,Piotroski score,Industry PE,PE Variance,Promoter holding,Change in promoter holding 3Years,FII holding,DII holding,Contingent liabilities,Pledged percentage,EVEBITDA,Enterprise Value,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,Return over 3months,Return over 6months,Return over 1year,Return over 3years
Action Const.Eq.,532762,ACE,Engineering,141.75,1608.62,29.32,39.91,3.55,5.00,20.39,1.44,70.05,1.14,3.15,1.42,130.48,0.00,16.53,1701.19,150.21,121.28,150.55,121.08,-5.66,85.66,230.42,-8.24
Action Fin.Serv,511706,,Finance & Investments,4.07,5.09,,20.37,0.20,8.00,10.06,,38.08,0.00,0.00,0.02,9.59,0.00,-2.68,7.00,5.36,7.21,5.41,7.24,-22.03,-35.40,-49.12,-20.56
AD Manum Finance,511359,,Finance & Investments,17.25,12.94,2.85,68.57,0.25,6.00,17.34,0.16,70.06,0.00,0.00,0.00,0.01,0.00,3.88,28.32,16.33,16.12,16.30,16.11,20.13,8.15,98.28,-16.28
Adani Enterp.,512599,ADANIENT,Trading,1298.90,142854.33,132.32,156.02,8.33,6.00,41.36,3.20,74.92,0.00,20.51,0.83,6402.19,6.44,47.97,156336.82,1042.74,647.78,1032.29,641.24,118.17,262.92,847.07,139.37
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1102.90,172495.13,821.41,14.07,78.41,6.00,18.60,44.16,56.29,,21.47,0.30,61.06,0.00,72.05,195250.13,1102.10,897.71,1102.07,895.65,2.39,22.63,419.62,
Adani Ports,532921,ADANIPORTS,Miscellaneous,767.75,156755.49,31.39,150.01,5.12,7.00,31.39,1.00,63.74,-2.53,17.90,14.83,2220.70,15.97,17.40,185390.24,713.12,547.83,710.89,545.62,35.42,109.17,169.34,22.92
Adani Power,533096,ADANIPOWER,Power Generation And Supply,97.05,37431.59,29.47,34.00,2.85,8.00,18.60,1.58,74.97,1.90,11.52,7.08,1646.29,29.11,8.07,85464.59,84.86,61.32,84.37,60.96,85.56,161.94,224.58,58.12
Adani Total Gas,542066,ATGL,Miscellaneous,1310.30,144108.12,298.50,17.75,73.81,6.00,73.90,4.04,74.80,,19.12,2.16,3564.32,0.00,193.10,144568.78,959.66,540.47,945.34,532.73,242.97,448.70,1121.16,
Adani Transmissi,539254,ADANITRANS,Power Generation And Supply,1176.40,129381.66,105.70,81.10,14.51,7.00,18.60,5.68,74.91,-0.01,20.30,2.55,2037.15,12.02,30.37,153867.03,915.59,588.20,904.94,582.29,122.28,281.39,499.29,92.76
Adarsh Plant,526711,,Pumps,5.80,5.75,191.67,0.38,15.13,6.00,20.48,9.36,49.06,4.24,0.00,0.00,0.00,0.00,45.46,11.82,4.52,4.79,4.47,4.78,56.76,8.41,106.41,-14.56
ADC India,523411,,Telecommunications - Equipment,205.70,94.62,35.04,86.52,2.38,5.00,31.42,1.12,72.02,0.00,0.00,0.01,7.42,0.00,15.95,70.03,202.04,191.16,201.89,191.01,2.85,16.21,71.42,-0.62
Adcon Capital,539506,,Finance & Investments,6.14,2.18,36.33,10.17,0.60,3.00,17.34,2.10,0.00,-8.45,0.00,0.00,0.00,0.00,36.33,2.18,6.86,9.26,6.89,9.29,-9.71,-28.10,-37.66,-21.04
Add-Shop E-Reta.,541865,,Trading,53.55,60.67,49.73,12.83,4.17,3.00,41.36,1.20,62.99,,0.00,0.00,0.00,0.00,23.68,64.16,56.83,52.48,56.97,52.47,-26.44,-8.23,136.01,
Addi Industries,507852,,Textiles - Products,4.16,4.49,,17.26,0.24,5.00,19.87,,74.27,0.00,0.00,0.11,1.23,0.00,0.42,-0.38,4.77,6.22,4.80,6.25,-26.89,-36.97,-36.97,-26.32
ADF Foods,519183,ADFFOODS,Food - Processing - Indian,898.70,1799.44,37.14,113.46,7.92,6.00,38.51,0.96,31.42,-3.80,10.00,1.65,8.78,0.00,24.63,1752.34,872.09,642.81,871.00,640.23,33.65,106.79,345.34,55.83
Adhunik Indus.,538365,ADHUNIKIND,Steel - Medium / Small,23.80,111.30,176.67,24.90,0.96,5.00,16.37,10.79,74.96,0.00,0.00,0.00,5.29,68.03,11.49,142.10,22.21,23.87,22.14,23.87,4.85,33.33,10.19,-31.70
Adinath Exim Res,532056,,Finance & Investments,6.09,2.63,5.26,33.57,0.18,5.00,17.34,0.30,62.04,1.99,0.00,0.00,0.00,0.00,3.42,2.63,6.48,7.33,6.49,7.34,-17.81,7.41,16.22,-34.22
Adinath Textiles,514113,,Textiles - Spinning - Synthetic / Blended,2.94,2.00,9.09,1.91,1.54,3.00,10.99,0.83,43.64,0.38,0.00,0.01,0.00,0.00,4.28,1.71,3.12,2.82,3.13,2.82,-26.68,126.15,84.91,-16.45
Adit.Birla Money,532974,BIRLAMONEY,Finance & Investments,44.15,248.57,15.75,8.50,5.19,5.00,10.06,1.57,73.80,-0.23,0.00,0.00,0.71,0.00,4.66,240.01,42.42,41.43,42.35,41.41,0.34,4.62,68.19,-12.59
Aditri Industrie,534707,,Textiles - Products,1.05,1.31,,-1.59,,2.00,19.87,,0.00,0.00,0.00,0.00,0.00,0.00,-3.46,3.32,0.94,0.86,0.93,0.86,64.06,87.50,-18.60,-20.88
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,176.05,16222.61,,11.94,14.74,4.00,,,56.10,-3.14,13.95,17.53,49.75,0.00,37.95,21352.33,182.13,169.97,182.38,169.91,5.58,16.74,67.16,6.95
Aditya Birla Cap,540691,ABCAPITAL,Finance & Investments,115.90,27993.07,31.27,54.06,2.14,6.00,17.34,1.80,70.70,-2.06,2.79,12.23,1198.25,0.00,14.18,77015.77,115.07,94.75,115.04,94.54,28.56,64.75,168.91,-9.70
Aditya Consumer,540146,,Trading,27.80,40.68,23.11,17.90,1.55,5.00,41.36,0.56,55.24,1.16,0.00,0.00,0.00,0.00,9.24,46.28,19.26,24.60,18.91,24.57,63.53,154.58,36.27,-48.11
Aditya Ispat,513513,,Steel - Medium / Small,6.70,3.58,12.34,18.07,0.37,5.00,16.37,0.75,24.32,0.00,0.00,0.00,1.23,0.00,13.31,29.69,5.50,5.32,5.45,5.31,16.52,-5.63,75.85,6.48
Aditya Spinners,521141,,Textiles - Spinning - Synthetic / Blended,7.17,12.00,5.26,14.78,0.48,6.00,10.99,0.48,66.37,0.00,0.00,0.53,0.31,0.00,26.80,34.04,6.19,5.77,6.15,5.75,24.70,21.94,86.72,0.76
