NAME,MCAP,CMP,PE,Earning1,Earning2,Earning3,Earning4,DebtScore1,DebtScore2,DebtScore3,DebtScore4,DebtScore5,CashScore,IV-Max,IV-Avg,IV-Min,CAGR-Max,CAGR-Avg,CAGR-Min,ReturnMultiple-Max,ReturnMultiple-Avg,ReturnMultiple-Min
BHAGAWATI OXYGEN LTD,6.26,27.1,-2.086666666666667,1.0,4.0,4.0,4.0,9.0,7.0,10.0,0.0,6.0,5.0,989.540452068946,619.5106638903079,429.01582971658246,0.7092528809431391,0.6285484935495431,0.5668503338914836,212.84487906993806,131.22209028055107,89.18157640899554
BHAGERIA INDUSTRIES LTD,749.37,171.7,12.87577319587629,7.0,4.0,4.0,4.0,8.0,8.0,10.0,8.0,6.0,5.0,-187.63329468204083,-115.37270494108985,-78.17227000380133,,,,-6.49503499715058,-3.979240056439111,-2.68345840438262
BHAGIRADHA CHEMICALS & INDUSTRIES LTD,409.83,493.2,17.4693094629156,6.0,3.0,3.0,2.0,6.0,4.0,0.0,8.0,6.0,4.0,-707.7795146847648,-441.7533723284996,-304.8005985437913,,,,-8.393354075603755,-5.1689810313880145,-3.5082401806656116
BHAGWATI AUTOCAST LTD,43.69,151.7,43.69,5.0,4.0,4.0,4.0,10.0,10.0,0.0,8.0,6.0,5.0,912.4020764436169,570.0267958990717,393.76876377267047,0.42751082433639853,0.3600081150496772,0.3083640414838793,35.139380475280355,21.647861352712273,14.698939302471938
BHAGYANAGAR PROPERTIES LTD,86.39,27.0,30.85357142857143,2.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,6.0,6.0,292.4799756726382,182.60844584805758,126.04554328454091,0.514131819159154,0.44249955357279935,0.3876833009483167,63.333991808195385,39.00828654936914,26.47912447910637
BHAGYANAGAR INDIA LTD,163.65,51.15,224.17808219178085,8.0,3.0,4.0,3.0,10.0,8.0,0.0,8.0,6.0,7.0,1319.2198798030172,823.843353162717,568.8188326764285,0.6513014693414694,0.5731930246903774,0.513425945510978,150.75220508853687,92.85817018503666,63.03935348519132
BHAKTI GEMS & JEWELLERY LTD,25.17,25.1,11.87264150943396,8.0,5.0,7.0,3.0,9.0,8.0,0.0,8.0,0.0,2.0,-224.6290022451507,-140.19281099201973,-96.72426125661029,,,,-52.34518452964838,-32.235792237783066,-21.878278139898683
BHANDARI HOSIERY EXPORTS LTD,32.97,2.25,137.37499999999974,8.0,6.0,5.0,6.0,5.0,2.0,10.0,0.0,0.0,1.0,-92.20560741539855,-57.55396439668367,-39.71497088432757,,,,-239.66028363801368,-147.59723624222778,-100.17937808637583
BHANSALI ENGINEERING POLYMERS LTD,2809.61,169.35,8.426891814882579,8.0,8.0,8.0,9.0,10.0,9.0,10.0,0.0,6.0,8.0,5.1729554250999765,4.96299687757858,4.854908231823024,-0.22945499458137464,-0.23756827187225493,-0.24207076270841388,0.07378704147139521,0.0663757756303386,0.06255853991690707
BHARAT AGRI FERT & REALTY LTD,86.26,163.2,-18.08385744234801,5.0,2.0,1.0,2.0,10.0,10.0,0.0,0.0,0.0,4.0,-87.50466291701144,-54.55316940176189,-37.589428931403646,,,,-3.139856804337909,-1.9328798382071688,-1.3112160523961016
BHARAT BHUSHAN FINANCE & COMMODITY BROKERS LTD,6.47,19.15,20.21875,6.0,6.0,6.0,6.0,10.0,10.0,10.0,8.0,6.0,5.0,23.59178274105318,14.867931946324099,10.376811059332287,0.21702847721166885,0.1598419212800375,0.11622756021303826,7.128651830612442,4.405427091383308,3.0028069515552542
BHARAT BIJLEE LTD,633.68,1121.25,23.322782480677215,6.0,3.0,3.0,3.0,10.0,9.0,0.0,0.0,0.0,2.0,-1862.7626116822075,-1161.5468391953227,-800.5543284102096,,,,-9.726470213223253,-5.988005781950275,-4.062477775466815
BHARAT DYNAMICS LTD,6141.75,335.1,19.997883563427976,3.0,3.0,2.0,2.0,6.0,6.0,10.0,0.0,0.0,2.0,1720.0638005209978,1080.6787606543355,751.5172957298961,0.4041944745178192,0.3380638093381654,0.28757160640618173,29.803865690376565,18.397899611903153,12.523159453516143
